Keywords,Author,Authors,Title,Journal,Year,Total Citations,Citations per Year,label,Degree,ClusterDiversity,Cluster Bridging,Cluster Centrality,id,x_tsne,y_tsne
restoration ecology|ecology|restoration,"Allen, Edith B.| Covington, W. W.| Falk, Donald A.","Allen, Edith B.; Covington, W. W.; Falk, Donald A.",Developing the conceptual basis for restoration ecology,Restoration Ecology,1997,40,1.818181818,"Allen, Edith B. et al., 1997",2,0,0,0,0,-208.5007172,87.24029541
competition|divergent selection|selection|coevolution|geographic mosaic|speciation|predator prey,"Benkman, C. W.","Benkman, C. W.",The selection mosaic and diversifying coevolution between crossbills and lodgepole pine,American Naturalist,1999,136,6.8,"Benkman, C. W., 1999",3,0,0,-0.5,1,662.2208252,605.6522827
size|multiple stressors|communities|phytoplankton communities|nutrients|phytoplankton|stressors|size structure|zooplankton,"Cottingham, Kathryn L.","Cottingham, Kathryn L.",Nutrients and zooplankton as multiple stressors of phytoplankton communities: Evidence from size structure,Limnology and Oceanography,1998,75,3.571428571,"Cottingham, Kathryn L., 1998",1,0,0,-0.707106781,2,-112.4282455,606.1465454
spatial heterogeneity|ecosystem management|recovery|succession|management|disturbance|ecosystem|land use,"Dale, Virginia H.| Lugo, Ariel| MacMahon, James A.| Pickett, Steward T.","Dale, Virginia H.; Lugo, Ariel; MacMahon, James A.; Pickett, Steward T.","Ecosystem management in the context of large, infrequent disturbances",Ecosystems,1998,65,3.095238095,"Dale, Virginia H. et al., 1998",1,0,0,1,3,-837.4161377,-281.1676636
time series|mechanism|delay differential equations|population dynamics|time series analysis,"Ellner, Stephen P.| Kendall, Bruce E.| Wood, Simon| McCauley, Edward| Briggs, Cheryl J.","Ellner, Stephen P.; Kendall, Bruce E.; Wood, Simon; McCauley, Edward; Briggs, Cheryl J.",Inferring mechanism from time-series data: Delay-differential equations,Physica D-Nonlinear Phenomena,1997,40,1.818181818,"Ellner, Stephen P. et al., 1997",1,0,0,-0.866025404,4,-337.9339905,-322.9954529
plant|meta analysis|woody plants|elevated co2|physiology|mass|co2,"Curtis, Peter| Wang, Xianshong","Curtis, Peter; Wang, Xianshong","A meta-analysis of elevated CO2 effects on woody plant mass, form, and physiology",Oecologia,1998,873,41.57142857,"Curtis, Peter & Wang, Xianshong, 1998",1,0,0,-1.414213562,5,-277.0502014,150.8698883
endangered species|vertebrates|pacific|endangered species act|act|classification|north,"Gerber, Leah R.| DeMaster, D.","Gerber, Leah R.; DeMaster, D.",A quantitative approach to Endangered Species Act classification of long-lived vertebrates: Application to the North Pacific humpback whale,Conservation Biology,1999,24,1.2,"Gerber, Leah R. & DeMaster, D., 1999",1,0,0,1,6,279.5224304,0.509661317
act|endangered species|monitoring|endangered species act,"Gerber, Leah R.| DeMaster, D.| Kareiva, Peter","Gerber, Leah R.; DeMaster, D.; Kareiva, Peter",Gray whales and the value of monitoring data in implementing the Endangered Species Act,Conservation Biology,1999,41,2.05,"Gerber, Leah R. et al., 1999",1,0,0,1,7,313.9197083,-18.87270164
adaptation|density|evolution|dependence|environment|immigration|niche evolution|niche|density dependence,"Gomulkiewicz, Richard| Holt, Robert D.| Barfield, M.","Gomulkiewicz, Richard; Holt, Robert D.; Barfield, M.",The effects of density dependence and immigration on adaptation and niche evolution in a black-hole sink environment,Theoretical Population Biology,1999,140,7,"Gomulkiewicz, Richard et al., 1999",1,0,0,-0.866025404,8,-286.6714783,-256.4813843
population|dynamics|environmental heterogeneity|map|heterogeneity|spatial structure|population dynamics,"Kendall, Bruce E.| Fox, Gordon A.","Kendall, Bruce E.; Fox, Gordon A.","Spatial structure, environmental heterogeneity, and population dynamics: Analysis of the coupled logistic map",Theoretical Population Biology,1998,58,2.761904762,"Kendall, Bruce E. & Fox, Gordon A., 1998",1,0,0,1,9,259.9303589,174.5816345
adaptation|virulence|migration|parasites|sex|coevolution|geographic mosaic|local adaptation,"Lively, Curtis M.","Lively, Curtis M.","Migration, virulence, and the geographic mosaic of adaptation by parasites",American Naturalist,1999,221,11.05,"Lively, Curtis M., 1999",4,0,0,2,10,641.6101685,553.7093506
size|effect size|models,"Osenberg, Craig W.| Sarnelle, Orlando| Cooper, Scott D.","Osenberg, Craig W.; Sarnelle, Orlando; Cooper, Scott D.",Effect size in ecological experiments: The application of biological models to meta-analysis,American Naturalist,1997,178,8.090909091,"Osenberg, Craig W. et al., 1997",2,0,0,1.414213562,11,-147.7796173,571.2802734
quantitative synthesis|estimation|meta analysis|field experiments|ecology|statistics,"Osenberg, Craig W.| Sarnelle, Orlando| Goldberg, Deborah E.","Osenberg, Craig W.; Sarnelle, Orlando; Goldberg, Deborah E.","Meta-analysis in ecology: Concepts, statistics, and applications",Ecology,1999,52,2.6,"Osenberg, Craig W. et al., 1999",3,0,0,1.414213562,12,-260.5892639,101.2937775
migration|mutualism|geographic variation|specialization|symbiosis|coevolution|metapopulations,"Parker, Matthew A.","Parker, Matthew A.",Mutualism in metapopulations of legumes and rhizobia,American Naturalist,1999,76,3.8,"Parker, Matthew A., 1999",3,0,0,-0.5,13,590.2803345,575.3922729
scale|restoration|models,"Parker, V.","Parker, V.",The scale of successional models and restoration objectives,Restoration Ecology,1997,58,2.636363636,"Parker, V., 1997",1,0,0,-0.707106781,14,-100.9607315,554.1845703
spatial scale|geographic gradient|population|dynamics|density dependence|regional synchrony|hokkaido|cycle|population dynamics|population variability,"Saitoh, T.| Stenseth, Nils| Bjornstad, Ottar N.","Saitoh, T.; Stenseth, Nils; Bjornstad, Ottar N.","The population dynamics of the vole Clethrionomys rufocanus in Hokkaido, Japan",Researches on Population Ecology,1998,82,3.904761905,"Saitoh, T. et al., 1998",1,0,0,1,15,220.3303986,172.6522064
neotropical savannas|water|balance|brachiaria decumbens|water transfer|savanna|wet season|energy|orinoco llanos|field,"San Jose, Jose| Brancho, R.| Nikonova, N.","San Jose, Jose; Brancho, R.; Nikonova, N.",Comparison of water transfer as a component of the energy balance in a cultivated grass (Brachiaria decumbens Stapf.) field and a savanna during the wet season of the Orinoco Llanos,Agricultural and Forest Meteorology,1998,10,0.476190476,"San Jose, Jose et al., 1998",1,0,0,1,16,127.1505737,-108.0923462
field|savanna|water,"San Jose, Jose| Nikonova, N.| Brancho, R.","San Jose, Jose; Nikonova, N.; Brancho, R.",Comparison of factors affecting water transfer in a cultivated paleotropical grass (Brachiaria decumbens Stapf) field and a neotropical savanna during the dry season of the Orinoco lowlands,Journal of Applied Meteorology,1998,10,0.476190476,"San Jose, Jose et al., 1998",1,0,0,1,17,126.6240082,-147.7342072
populations|conservation|management,"Shea, Katriona| Amarasekare, Priyanga| Mangel, Marc| Moore, Joslin L.| Murdoch, William W.| Noonburg, Erik| Parma, Ana Maria| Pascual, Mercedes| Possingham, Hugh P.| Wilcox, Chris| Yu, Douglas W.","Shea, Katriona; Amarasekare, Priyanga; Mangel, Marc; Moore, Joslin L.; Murdoch, William W.; Noonburg, Erik; Parma, Ana Maria; Pascual, Mercedes; Possingham, Hugh P.; Wilcox, Chris; Yu, Douglas W.","Management of populations in conservation, harvesting and control",Trends in Ecology and Evolution,1999,109,5.45,"Shea, Katriona et al., 1999",1,0,0,-0.866025404,18,-159.2519073,-332.3061218
community|community structure|pacific|northeast pacific|sediment,"Smith, Craig| Maybaum, H.| Baco, A.| Pope, R.| Carpenter, Stephen R.| Yager, P.| Macko, S.| Deming, J.","Smith, Craig; Maybaum, H.; Baco, A.; Pope, R.; Carpenter, Stephen R.; Yager, P.; Macko, S.; Deming, J.","Sediment community structure around a whale skeleton in the deep Northeast Pacific: Macrofaunal, microbial and bioturbation effects",Deep-Sea Reasearch Part Ii-Topical Studies in Oceanography,1998,50,2.380952381,"Smith, Craig et al., 1998",1,0,0,-0.707106781,19,-309.8227844,-855.199646
restoration ecology|ecology|variation|restoration,"White, Peter S.| Walker, Joan L.","White, Peter S.; Walker, Joan L.",Approximating nature's variation: Selecting and using reference information in restoration ecology,Restoration Ecology,1997,294,13.36363636,"White, Peter S. & Walker, Joan L., 1997",2,0,0,0,20,-213.3354492,139.9132385
cod|populations|survival|coastal,"Bjornstad, Ottar N.| Fromentin, J.| Stenseth, Nils| Gjosaeter, J.","Bjornstad, Ottar N.; Fromentin, J.; Stenseth, Nils; Gjosaeter, J.",A new test for density-dependent survival: The case of coastal cod populations,Ecology,1999,48,2.4,"Bjornstad, Ottar N. et al., 1999",2,0,0,0,21,-253.6444855,-365.93396
cod|trends|cycles|populations,"Bjornstad, Ottar N.| Fromentin, J.| Stenseth, Nils| Gjosaeter, J.","Bjornstad, Ottar N.; Fromentin, J.; Stenseth, Nils; Gjosaeter, J.",Cycles and trends in cod populations,Proceedings of the National Academy of Sciences,1999,114,5.7,"Bjornstad, Ottar N. et al., 1999",3,0,0,0.866025404,22,-209.7844391,-333.1088257
intercohort cannibalism|density|autoregressive moving average (arma)|dependence|dynamics|time series|intracohort competition|populations|coastal|age structured population dynamics|cod|density dependence|gadus morhua|time series analysis,"Stenseth, Nils| Bjornstad, Ottar N.| Falck, W.| Fromentin, J.| Gjosaeter, J.| Gray, John S.","Stenseth, Nils; Bjornstad, Ottar N.; Falck, W.; Fromentin, J.; Gjosaeter, J.; Gray, John S.",Dynamics of coastal cod populations: Intra- and intercohort density dependence and stochastic processes,Proceedings of the Royal Society B-Biological Sciences,1999,74,3.7,"Stenseth, Nils et al., 1999",4,0,0,1.732050808,23,-283.6330872,-311.3950806
patterns|mississippi river|fire|legacy|tornado|volcano|forest ecosystem|mount st. helens|hurricane|landscape|forest|flood|disturbance|yellowstone fires,"Foster, David R.| Knight, Dennis H.| Franklin, Jerry F.","Foster, David R.; Knight, Dennis H.; Franklin, Jerry F.","Landscape patterns and legacies resulting from large, infrequent forest disturbances",Ecosystems,1998,255,12.14285714,"Foster, David R. et al., 1998",1,0,0,1,24,-801.7616577,-263.9093628
patterns|disease|temporal patterns|metapopulation|gene for gene|plant|simulation modeling|pathogen|associations|coevolution|geographic mosaic,"Burdon, Jeremy J.| Thrall, Peter H.","Burdon, Jeremy J.; Thrall, Peter H.",Spatial and temporal patterns in coevolving plant and pathogen associations,American Naturalist,1999,121,6.05,"Burdon, Jeremy J. & Thrall, Peter H., 1999",3,0,0,-0.5,25,693.6563721,534.6953125
patterns|virulence|evolution|parasitoids|geographic variation|resistance|drosophila|coevolution,"Kraaijeveld, A. R.| Godfray, Charles","Kraaijeveld, A. R.; Godfray, Charles",Geographic patterns in the evolution of resistance and virulence in Drosophila and its parasitoids,American Naturalist,1999,109,5.45,"Kraaijeveld, A. R. & Godfray, Charles, 1999",3,0,0,-0.5,26,618.9190674,502.8447876
abundance|community|community structure,"Stevens, Richard D.| Willig, Michael R.","Stevens, Richard D.; Willig, Michael R.","Community structure, abundance, and morphology",Oikos,2000,26,1.368421053,"Stevens, Richard D. & Willig, Michael R., 2000",2,0,0,1.414213562,27,-279.8666992,-815.7130127
dispersal competition trade off|community|metapopulation|colonization|dynamics|host parasitoid dynamics|dispersal|temporal variability|spatial dynamics,"Amarasekare, Priyanga","Amarasekare, Priyanga",Spatial dynamics in a host-multiparasitoid community,Journal of Animal Ecology,2000,46,2.421052632,"Amarasekare, Priyanga, 2000",1,0,0,-0.707106781,28,-257.0474548,-859.9719849